"0","TEXT_AKTKMG108_04457_SEQ_00","イーアの里のコフ＝コーグは、ゆらゆらと同胞たちを待っている。"
"1","TEXT_AKTKMG108_04457_SEQ_01",""
"2","TEXT_AKTKMG108_04457_SEQ_02",""
"3","TEXT_AKTKMG108_04457_SEQ_03",""
"4","TEXT_AKTKMG108_04457_SEQ_04",""
"5","TEXT_AKTKMG108_04457_SEQ_05",""
"6","TEXT_AKTKMG108_04457_SEQ_06",""
"7","TEXT_AKTKMG108_04457_SEQ_07",""
"8","TEXT_AKTKMG108_04457_SEQ_08",""
"9","TEXT_AKTKMG108_04457_SEQ_09",""
"10","TEXT_AKTKMG108_04457_SEQ_10",""
"11","TEXT_AKTKMG108_04457_SEQ_11",""
"12","TEXT_AKTKMG108_04457_SEQ_12",""
"13","TEXT_AKTKMG108_04457_SEQ_13",""
"14","TEXT_AKTKMG108_04457_SEQ_14",""
"15","TEXT_AKTKMG108_04457_SEQ_15",""
"16","TEXT_AKTKMG108_04457_SEQ_16",""
"17","TEXT_AKTKMG108_04457_SEQ_17",""
"18","TEXT_AKTKMG108_04457_SEQ_18",""
"19","TEXT_AKTKMG108_04457_SEQ_19",""
"20","TEXT_AKTKMG108_04457_SEQ_20",""
"21","TEXT_AKTKMG108_04457_SEQ_21",""
"22","TEXT_AKTKMG108_04457_SEQ_22",""
"23","TEXT_AKTKMG108_04457_SEQ_23",""
"24","TEXT_AKTKMG108_04457_TODO_00","コフ＝コーグと話す"
"25","TEXT_AKTKMG108_04457_TODO_01","<hex:02280CFF05454F626AF61EB4C60103>で待機"
"26","TEXT_AKTKMG108_04457_TODO_02","<hex:02280CFF05454F626AF61EB4C60103>で再度待機"
"27","TEXT_AKTKMG108_04457_TODO_03","ヤ・シュトラと話す"
"28","TEXT_AKTKMG108_04457_TODO_04",""
"29","TEXT_AKTKMG108_04457_TODO_05",""
"30","TEXT_AKTKMG108_04457_TODO_06",""
"31","TEXT_AKTKMG108_04457_TODO_07",""
"32","TEXT_AKTKMG108_04457_TODO_08",""
"33","TEXT_AKTKMG108_04457_TODO_09",""
"34","TEXT_AKTKMG108_04457_TODO_10",""
"35","TEXT_AKTKMG108_04457_TODO_11",""
"36","TEXT_AKTKMG108_04457_TODO_12",""
"37","TEXT_AKTKMG108_04457_TODO_13",""
"38","TEXT_AKTKMG108_04457_TODO_14",""
"39","TEXT_AKTKMG108_04457_TODO_15",""
"40","TEXT_AKTKMG108_04457_TODO_16",""
"41","TEXT_AKTKMG108_04457_TODO_17",""
"42","TEXT_AKTKMG108_04457_TODO_18",""
"43","TEXT_AKTKMG108_04457_TODO_19",""
"44","TEXT_AKTKMG108_04457_TODO_20",""
"45","TEXT_AKTKMG108_04457_TODO_21",""
"46","TEXT_AKTKMG108_04457_TODO_22",""
"47","TEXT_AKTKMG108_04457_TODO_23",""
"48","TEXT_AKTKMG108_04457_ALPHINAUD_000_000","これが住居とは……<hex:02100103>だが、肉体なき精神体が宿る場所としては、<hex:02100103>道理なのだろうね。"
