"0","TEXT_BANLOP111_04697_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>特殊ルール： レベルアジャスト受注クラス・ジョブ制限<hex:0249020103><hex:0248020103><hex:02100103>※本クエストは受注時のクラスでのみ進行します。<hex:02100103><hex:02100103>ホーパーズ・ホールドのマネージングウェイは、脱走した新型マシンの回収を手伝ってほしいようだ。"
"1","TEXT_BANLOP111_04697_SEQ_01",""
"2","TEXT_BANLOP111_04697_SEQ_02",""
"3","TEXT_BANLOP111_04697_SEQ_03",""
"4","TEXT_BANLOP111_04697_SEQ_04",""
"5","TEXT_BANLOP111_04697_SEQ_05",""
"6","TEXT_BANLOP111_04697_SEQ_06",""
"7","TEXT_BANLOP111_04697_SEQ_07",""
"8","TEXT_BANLOP111_04697_SEQ_08",""
"9","TEXT_BANLOP111_04697_SEQ_09",""
"10","TEXT_BANLOP111_04697_SEQ_10",""
"11","TEXT_BANLOP111_04697_SEQ_11",""
"12","TEXT_BANLOP111_04697_SEQ_12",""
"13","TEXT_BANLOP111_04697_SEQ_13",""
"14","TEXT_BANLOP111_04697_SEQ_14",""
"15","TEXT_BANLOP111_04697_SEQ_15",""
"16","TEXT_BANLOP111_04697_SEQ_16",""
"17","TEXT_BANLOP111_04697_SEQ_17",""
"18","TEXT_BANLOP111_04697_SEQ_18",""
"19","TEXT_BANLOP111_04697_SEQ_19",""
"20","TEXT_BANLOP111_04697_SEQ_20",""
"21","TEXT_BANLOP111_04697_SEQ_21",""
"22","TEXT_BANLOP111_04697_SEQ_22",""
"23","TEXT_BANLOP111_04697_SEQ_23",""
"24","TEXT_BANLOP111_04697_TODO_00","ヘイムダル級観察艇の残骸付近の試作型サポーターを探す"
"25","TEXT_BANLOP111_04697_TODO_01","マネージングウェイに試作型サポーターを渡す"
"26","TEXT_BANLOP111_04697_TODO_02",""
"27","TEXT_BANLOP111_04697_TODO_03",""
"28","TEXT_BANLOP111_04697_TODO_04",""
"29","TEXT_BANLOP111_04697_TODO_05",""
"30","TEXT_BANLOP111_04697_TODO_06",""
"31","TEXT_BANLOP111_04697_TODO_07",""
"32","TEXT_BANLOP111_04697_TODO_08",""
"33","TEXT_BANLOP111_04697_TODO_09",""
"34","TEXT_BANLOP111_04697_TODO_10",""
"35","TEXT_BANLOP111_04697_TODO_11",""
"36","TEXT_BANLOP111_04697_TODO_12",""
"37","TEXT_BANLOP111_04697_TODO_13",""
"38","TEXT_BANLOP111_04697_TODO_14",""
"39","TEXT_BANLOP111_04697_TODO_15",""
"40","TEXT_BANLOP111_04697_TODO_16",""
"41","TEXT_BANLOP111_04697_TODO_17",""
"42","TEXT_BANLOP111_04697_TODO_18",""
"43","TEXT_BANLOP111_04697_TODO_19",""
"44","TEXT_BANLOP111_04697_TODO_20",""
"45","TEXT_BANLOP111_04697_TODO_21",""
"46","TEXT_BANLOP111_04697_TODO_22",""
"47","TEXT_BANLOP111_04697_TODO_23",""
"48","TEXT_BANLOP111_04697_MANAGINGWAY_000_000","インベンティングウェイから緊急の連絡がありました！<hex:02100103>ある目的で開発中の新しいマシンが1体、<hex:02100103>突然に外へ飛び出していってしまったそうなんです。"
"49","TEXT_BANLOP111_04697_MANAGINGWAY_000_001","インベンティングウェイから、再び緊急の連絡がありました！<hex:02100103>以前回収していただいた、試作型サポーターが、<hex:02100103>またも外へ飛び出してしまったようです！"
"50","TEXT_BANLOP111_04697_MANAGINGWAY_000_002","マシンの通信は、アラグの暴走兵器が多く徘徊する、<hex:02100103>「ヘイムダル級観察艇の残骸」辺りで途絶えたようです。"
"51","TEXT_BANLOP111_04697_MANAGINGWAY_000_003","危険な任務を頼んで申し訳ないのですが、<hex:02100103>急ぎ、サポーターを探して回収をお願いいたします！"
"52","TEXT_BANLOP111_04697_SYSTEM_000_010","試作型サポーターは機能を停止しているようだ。<hex:02100103>機体を回収し「マネージングウェイ」へと渡そう。"
"53","TEXT_BANLOP111_04697_MANAGINGWAY_000_020","飛び出していった試作型サポーターは見つかりましたか？"
"54","TEXT_BANLOP111_04697_MANAGINGWAY_000_021","回収ありがとうございます！<hex:02100103>このマシンは、仲間たちの遊び相手となるように、<hex:02100103>設計されていたそうなのですが……"
"55","TEXT_BANLOP111_04697_MANAGINGWAY_000_022","もしかして、アラグの暴走兵器のことを、<hex:02100103>仲間と認識して、遊びに出かけてしまったのでしょうか？"
"56","TEXT_BANLOP111_04697_MANAGINGWAY_100_022","回収ありがとうございます！<hex:02100103>またも試作型サポーターは、アラグの暴走兵器を仲間と誤認し、<hex:02100103>遊びに出かけてしまったようですね……。"
"57","TEXT_BANLOP111_04697_MANAGINGWAY_000_023","インベンティングウェイが自分の夢のために、<hex:02100103>新しいマシンを開発するのは、素晴らしいことです。<hex:02100103>しかし、仕事を増やすのは、勘弁してほしいものですね。"
