"0","0","0","",""
"1","70501","70401","使魔的主人","　　母后的使魔絲羽鼠過去曾負責王宮的清潔工作。考慮到帕帕夏恩對母后在世時的經歷十分瞭解，朕認為他或許會知道絲羽鼠出現在那扇門後的原因，因此朕試著與他談及了這件事。當然了，朕沒有向他透露這次的秘密探索，朕只是旁敲側擊地向他打聽了這件事。<hex:02100103>　　根據帕帕夏恩所言，朕的母后十分愛乾淨，即使入宮成為了王妃，也堅持要親自打掃衛生。撞見王妃行動的侍女大驚失色，把所有的清潔工具都藏到了母后看不見的地方。面對這一結果，母后召見了來自知識之都的魔法師學習魔法，與那位魔法師一起創造了一隻巨大的清潔使魔。但凡發現些許汙漬，這隻使魔就會雷霆出擊，連銀冑團的近衛騎士都得對它退避三舍，任它盡情打掃。使魔忙碌清潔、眾人紛紛躲閃的樣子在當時堪稱王宮一景，但不知何時，王宮中忽然不見了使魔的蹤影。<hex:02100103>　　朕猜測，或許是當時王室與共和派對立日益激化，父王與母后很難擠出時間探訪追憶之地。因此，母后選擇將絲羽鼠派遣至此，讓它來守護打掃追憶之地。話雖如此，母后可真是個敢想敢為的人。不提創造清潔使魔這事如何，光從這使魔本身的實力就能窺見母后的些許能力……奔放不羈竟能到如此程度，著實讓朕震驚。"
"2","70502","70402","高潔戰士的行事作為","　　出於對今後探險進行上的考慮，朕在王宮的藏書庫中查詢了一番關於希拉狄哈的記錄，想要找到解開謎團的線索。然而，可能正因為是王宮的藏書庫吧，朕找到的資料大都是早已經知道了的內容。但也不能說全無值得矚目的情報。朕發現了一份狩獵殭屍時期的報告。內容提到了蜥蜴人族與烏爾達哈士兵共同參與的一場戰鬥。報告者認為蜥蜴人勇士的戰鬥方式與烏爾達哈士兵的差異太大，雙方很難配合。<hex:02100103>　　當時的希拉狄哈水道中充斥著大量的殭屍，這些殭屍的能力良莠不齊。報告中提到的那些士兵們認為戰鬥應該首先從能力不強的殭屍開始，以盡可能減少殭屍的總數為目的行動。而蜥蜴人族的勇士卻有不同的看法，他們渴望挑戰那些即使以蜥蜴人的角度來看也過於強大的敵人。對此表示困惑的人們詢問了蜥蜴人族，對方回以「只有與強大的敵人戰鬥才能展現自己的力量，與弱的敵人爭鬥就像是膽小的懦夫。」<hex:02100103>　　後來，雙方選擇了尊重對方的想法，各自按照自己的方針戰鬥。也就是說，烏爾達哈的士兵們的工作變成了盯著弱小的敵人掃蕩。朕不確定是否有能用到這些情報的地方，姑且是在這裡記了下來。"
"3","70503","70403","暖陽之中","　　多年以前，王宮曾為了增進與商人之間的交流舉辦了一場晚宴，貴為王族的父王與出生在小商人家庭的母后在這場晚宴中偶遇相識。一見鍾情的兩位由此開始了他們的浪漫故事。據說兩人在婚前經常會在一個不為眾人所知的秘密花園中約會。那是一個深埋於大地深處，卻有暖陽照耀的美麗花園……不會錯了，定是這次冒險者和朕在探索中找到的地方。<hex:02100103>　　當二位的婚約公開之後，這處秘密花園就成了坊間傳聞中的求婚之地，一時流言四起。甚至有大量的不法商人以此伺機撈錢，屢禁不絕。這麼多年過去了，烏爾達哈商人可真是一點都沒變，時時刻刻都不忘記他們的生意。不過外界始終沒能找到真正的秘密花園，朕也是多虧了與冒險者的這場探險，才能解開這個謎題。<hex:02100103>　　朕彷彿能想像出當時的情境。被薩納蘭的乾燥砂礫埋沒了的地底深處，鮮花綻放草木萌芽，陽光之中年輕的父王和母后彼此瞭解、愛慕。這幻想中的畫面讓朕感到由衷的快樂。朕可花了這麼長的時間才再次回憶起了二位的微笑是如何的模樣……"
"4","70504","70404","鑰匙與約定","　　這把用白銀製作的精緻鑰匙是朕5歲生日時，父王和母后贈送給朕的禮物，二位並沒告訴朕這鑰匙的使用方法。母后只對朕說，等朕長大成為一位淑女時，她將會帶著朕去這把鑰匙守護著的回憶之地。隨後父王也對朕說起，那裡除了是他們二位的回憶之地以外，也保存了烏爾達哈這個國家的無數回憶。對於尚且年幼的朕來說不能立刻到手的禮物著實惱人，一時還和父王母后鬧起了彆扭。現在回想起來，這一切竟成了如此珍貴的回憶。<hex:02100103>　　在那之後不久，父王和母后就蒙札爾神恩召棄朕而去了。朕驟然間失去雙親成了孤兒，只得於百感交集中倉促加冕為王，在悲傷和不安中勉強度日。蹣跚前行於沙漠的嚴寒與酷熱之間，已然耗費了朕的一切精力。朕不得不將約定、鑰匙以及回憶之地等等束之高閣。<hex:02100103>　　朕的雙親為何要將鑰匙送給才剛五歲的年幼女兒。他們是否是對不久之後的蹊蹺事故有所預感，還是……朕已經無從得知二位的想法，但朕相信，朕現在手中的這把鑰匙一定寄託有父王和母后想要告訴朕的秘密。"
"5","70505","70405","父王的夙願","　　在與烏爾達哈共同討伐希拉狄哈水道殭屍的過程裡，參戰的蜥蜴人族設立了不悔戰陣。假設不悔戰陣是蜥蜴人族當時的大本營，那麼朕和冒險者這次找到的據點遺跡想來就是蜥蜴人族的前哨基地了。考慮到這個位置藏在父王和母后交給朕的鑰匙之後，父王留給朕的日記裡又提到了「與蜥蜴人族攜手共斗的證據」，朕堅信這二者之間一定有什麼聯繫。<hex:02100103>　　父王在世時一直反對公布獸人驅逐令。儘管如此，共和派的人為了獲得更多的權益，仍執意以沙蠍眾的身份推動議程，在父王的抗拒中強行公布了新法令。父王似乎曾打算發動輿論應對共和派的蠻橫之舉。不是用那些捏造的文獻和記錄，而是將這不容反駁的「與蜥蜴人族攜手共斗的證據」公之於眾，推進人類與蜥蜴人之間的融合之路，但這項計劃卻因為父王遭遇蹊蹺的事故不幸離世而未能實現。<hex:02100103>　　那項證據是什麼，如今又在哪裡，朕也無從得知。然而，有一點是朕能夠確定的……如果這座據點的遺跡確實是找到證據的線索，那麼在如今兩族融合的時機已至之時，朕作為父王之女，必將繼承父王的遺志，達成父王夙願，以全孝道。如果朕與冒險者真的能在那裡找到「證據」就好了。"
"6","70506","70406","烏爾達哈之罪","　　那位安眠於棺槨之中的蜥蜴人勇士也是一具殭屍。恐怕他是在與殭屍戰鬥的過程中受了傷，不幸感染，最終被侵蝕成了殭屍吧。<hex:02100103>　　這種能將活人轉化為死靈的禁忌秘藥「來生神之淚」是烏爾達哈國內的咒術師創造的秘藥。當時的烏爾達哈國王薩薩加恩三世將這種罔顧人倫的秘藥投入戰爭擊潰了希拉狄哈之後，還四處散布謠言，宣稱是希拉狄哈人開發了這種秘藥將自己的臣民變成了不死士兵。所幸天網昭昭，不久之後索恩家就告發了薩薩加恩三世的惡行，結束了第一烏爾朝的罪惡統治……可如今薩薩加恩三世編造的謊言，卻仍是眾人熟知的事實。<hex:02100103>　　王族們為了保全烏爾王室的權威，又有咒術師組成的納爾札爾教團從中作梗，無數人抱守私利，偽造了無數的謊言，就這樣一代代傳承下來編造了如今的歷史。大多數烏爾達哈人恐怕是不願接受自己生活的都城竟然建立在另一個國家的都城之上吧，更勿論那個國家還是毀於自己國家的非人惡行之下了。然而不能正視歷史就無法走向未來。朕越是想起那位蜥蜴人的身姿，就越是感到自己作為繼承烏爾之名的女王責任之重大。終有一天，即使過程是困難的，朕也希望烏爾達哈能像是伊修加爾德那樣正視歷史的真相。"
"7","70507","70407","焚香祈禱","　　朕就希拉狄哈水道中發現的種種徵詢了蜥蜴人方面的意見。不過，此事到底是無法作為議題在烏爾達哈與蜥蜴人一族的定期會議中討論的。朕總不能將偷偷離宮調查一事透露出去嘛，不然就是在為難那些為朕提供幫助的眾人了。<hex:02100103>　　正因如此，朕在會議結束之後，與出席會議的酋長進行了一場別無二心的「閒聊」。朕向他說明了在烏爾達哈領內發現的棺槨，以及其中不幸淪為了殭屍的蜥蜴人族勇士，並表示希望能悼念祭拜他，詢問了酋長該如何以蜥蜴人的方式悼念。聽聞此消息的酋長強調說，最重要的一點就是不能妨礙勇士的安眠。發現者絕不能打開棺槨查看其中的情況。「英雄豪傑，生榮死哀。應鞠躬默哀，歡慶報捷，誠心叩拜。」……這也是蜥蜴人族悼念戰死同胞時用的方法。在那之後，還需要為他焚香，撫慰他逝去的英靈。<hex:02100103>　　經過這一番談話，朕痛感自己應該對蜥蜴人族的文化有更多瞭解和認知。只有更多地接觸他們的文化習慣，才是加深理解促進融合的正道。"
"8","70508","70408","烏爾達哈與希拉狄哈","　　貝拉哈迪亞一分為二，成了對立中的兩國烏爾達哈與希拉狄哈。正如歷史所述，來生神之淚毀滅了希拉狄哈為兩國之爭畫上了永遠的句號。不久之後烏爾達哈就遷都至希拉狄哈舊日都城所在的地方，因此，如今在烏爾達哈王都的周邊和地下深處還有大量的希拉狄哈遺跡。建造上下水道時，借用了當時的遺跡，因此得名「希拉狄哈水道」……多麼諷刺啊，要知道當年兩國大規模戰爭的導火線正是水源地之爭。<hex:02100103>　　既然水道借用了希拉狄哈的遺跡，那麼會通往另一座遺跡自然不算怪事，但朕沒想到竟然能一路通到那座似乎是希拉狄哈王宮的地方。如果這座遺跡當年是暴露在地面上的，大約早被薩納蘭的烈日和風沙吞噬，風化殆盡了。正是恰好被深埋於地下，才讓它能像如今這樣，彷彿時間都停止了一般，完好地保存下來。<hex:02100103>　　平常是很難發現保存得這樣好的遺跡的吧。對歷史學者來說，那一定是一座極其重要的調查目標。然而，進入水道通往遺跡的方法實在是令人頭大，這樣下去恐怕是很難保證每次都能到達那座遺跡的吧。朕現在最先要做的，就是修整前往那裡的道路。"
"9","70509","70409","國旗飄揚","　　每當看到希拉狄哈的國旗，就不由得會想起烏爾達哈和希拉狄哈兩國的初代國王是一對雙胞胎。不過，兩國的國旗之所以會如此相似，並不是因為這個原因。回到貝拉哈迪亞時代，國旗上的審理之天平兩端安放著的還是聖火和葡萄。後來，烏爾達哈繼承了象徵力量的聖火，希拉狄哈則傳承了象徵智慧的葡萄，雙方又各自選用了代表財富的寶石和代表力量的頭盔平衡天平。兩國均高舉己方那面與貝拉哈迪亞已一脈相承的國旗，宣稱本國作為天命所歸的繼承者的正當性。<hex:02100103>　　雖然兩國的國旗都帶有「力量」這個要素的象徵，但烏爾達哈的力量指的是「魔法」，希拉狄哈的力量指的是「武力」，這二者的性質大有不同。希拉狄哈國旗所描述的「力量」，更像是雲集於我國的鬥技場的那些劍鬥士所擁有的力量。<hex:02100103>　　現在回想起來，最後守在那裡的那臺粗魯的守護者，正是希拉狄哈的風格。守護它頭部的那頂頭盔上還裝飾著纖細精美的葡萄花樣。而且它的身體也是與希拉狄哈白銀天平相似的顏色，即使在採光不佳的地底，也反射著炫目的銀光。可希拉狄哈早已毀滅了，它卻仍在那裡，守護著失去了主人的王宮，著實令人心生惋惜。"
