"0","TEXT_GAIUSA910_00805_SEQ_00","ダンスタン監視哨のマルセットは冒険者に研究を手伝わせたいようだ。"
"1","TEXT_GAIUSA910_00805_SEQ_01","第六助手として、マルセットを手伝うことになった。「<hex:02280FFF09424E70634E616D65F2088E0103>」の体力を減らした状態で「<hex:022811FF0A4576656E744974656DF61E86F80103>」を使い、「<hex:022811FF0A4576656E744974656DF61E86F90103>」を入手しよう。"
"2","TEXT_GAIUSA910_00805_SEQ_02","ダンスタン監視哨の「マルセット」に<hex:022811FF0A4576656E744974656DF61E86F90103>を渡そう。"
"3","TEXT_GAIUSA910_00805_SEQ_03","仮説の検証に着手できそうだと喜ぶマルセット。……研究を手伝った冒険者のことは、またしても忘れているようだ。"
"4","TEXT_GAIUSA910_00805_SEQ_04",""
"5","TEXT_GAIUSA910_00805_SEQ_05",""
"6","TEXT_GAIUSA910_00805_SEQ_06",""
"7","TEXT_GAIUSA910_00805_SEQ_07",""
"8","TEXT_GAIUSA910_00805_SEQ_08",""
"9","TEXT_GAIUSA910_00805_SEQ_09",""
"10","TEXT_GAIUSA910_00805_SEQ_10",""
"11","TEXT_GAIUSA910_00805_SEQ_11",""
"12","TEXT_GAIUSA910_00805_SEQ_12",""
"13","TEXT_GAIUSA910_00805_SEQ_13",""
"14","TEXT_GAIUSA910_00805_SEQ_14",""
"15","TEXT_GAIUSA910_00805_SEQ_15",""
"16","TEXT_GAIUSA910_00805_SEQ_16",""
"17","TEXT_GAIUSA910_00805_SEQ_17",""
"18","TEXT_GAIUSA910_00805_SEQ_18",""
"19","TEXT_GAIUSA910_00805_SEQ_19",""
"20","TEXT_GAIUSA910_00805_SEQ_20",""
"21","TEXT_GAIUSA910_00805_SEQ_21",""
"22","TEXT_GAIUSA910_00805_SEQ_22",""
"23","TEXT_GAIUSA910_00805_SEQ_23",""
"24","TEXT_GAIUSA910_00805_TODO_00","弱らせた<hex:02280FFF09424E70634E616D65F2088E0103>に<hex:022811FF0A4576656E744974656DF61E86F80103>を使う"
"25","TEXT_GAIUSA910_00805_TODO_01","マルセットに<hex:022811FF0A4576656E744974656DF61E86F90103>を渡す"
"26","TEXT_GAIUSA910_00805_TODO_02",""
"27","TEXT_GAIUSA910_00805_TODO_03",""
"28","TEXT_GAIUSA910_00805_TODO_04",""
"29","TEXT_GAIUSA910_00805_TODO_05",""
"30","TEXT_GAIUSA910_00805_TODO_06",""
"31","TEXT_GAIUSA910_00805_TODO_07",""
"32","TEXT_GAIUSA910_00805_TODO_08",""
"33","TEXT_GAIUSA910_00805_TODO_09",""
"34","TEXT_GAIUSA910_00805_TODO_10",""
"35","TEXT_GAIUSA910_00805_TODO_11",""
"36","TEXT_GAIUSA910_00805_TODO_12",""
"37","TEXT_GAIUSA910_00805_TODO_13",""
"38","TEXT_GAIUSA910_00805_TODO_14",""
"39","TEXT_GAIUSA910_00805_TODO_15",""
"40","TEXT_GAIUSA910_00805_TODO_16",""
"41","TEXT_GAIUSA910_00805_TODO_17",""
"42","TEXT_GAIUSA910_00805_TODO_18",""
"43","TEXT_GAIUSA910_00805_TODO_19",""
"44","TEXT_GAIUSA910_00805_TODO_20",""
"45","TEXT_GAIUSA910_00805_TODO_21",""
"46","TEXT_GAIUSA910_00805_TODO_22",""
"47","TEXT_GAIUSA910_00805_TODO_23",""
"48","TEXT_GAIUSA910_00805_MARCETTE_000_000","そうそう、学説の証明に協力してくれたキミを、<hex:02100103>名誉ある私の「第六助手」に任命するわ。<hex:02100103>そんな訳だからキリキリ働きなさい？"
"49","TEXT_GAIUSA910_00805_MARCETTE_000_001","次の仕事は「<hex:022811FF0A4576656E744974656DF61E86F90103>」の入手よ！<hex:02100103>「<hex:02280FFF09424E70634E616D65F2088E0103>」を適度に弱らせて、<hex:02100103>この<hex:022811FF0A4576656E744974656DF61E86F80103>に詰めこんできなさい！"
"50","TEXT_GAIUSA910_00805_DUMMY_000_000","<hex:02280FFF09424E70634E616D65F2088E0103>を弱らせて、<hex:022811FF0A4576656E744974656DF61E86F80103>に<hex:022811FF0A4576656E744974656DF61E86F90103>をいれる×1"
"51","TEXT_GAIUSA910_00805_MARCETTE_000_010","「<hex:022811FF0A4576656E744974656DF61E86F90103>」は手に入ったかしら？<hex:02100103>キミが「新エオルゼア博物誌」の隅っこに、協力者として<hex:02100103>名を残すチャンスなんだから、キリキリ働きなさい？"
"52","TEXT_GAIUSA910_00805_MARCETTE_000_020","ククク……ほどよく生きてるようね、スプライトちゃん。<hex:02100103>キノコの傘から採取した胞子に、<hex:02100103>この子を使ってビリビリ電流を流せば……アハハハハハッ！"
"53","TEXT_GAIUSA910_00805_MARCETTE_000_021","私の学説が正しければ……<hex:02100103>電流によって「生命の危機」を感じたキノコちゃんが、<hex:02100103>通常よりも早く、多く、育つはずよ！"
"54","TEXT_GAIUSA910_00805_MARCETTE_000_022","「雷の多い年はキノコが豊作」って俗説……<hex:02100103>そして、霊災後に増殖を続けるトードスツールと、<hex:02100103>ライトニング・スプライトの因果関係を証明してみせるわ！"
