"0","TEXT_COMGRD001_01105_SEQ_00","双蛇党のボルセル大牙佐は冒険者に話があるようだ。"
"1","TEXT_COMGRD001_01105_SEQ_01","ボルセル大牙佐から、グランドカンパニー将兵の練兵所「ウルヴズジェイル」を紹介された。リムサ・ロミンサ沖のウルヴズジェイルにいる「ベルクーヤ大甲士」に話しかけよう。"
"2","TEXT_COMGRD001_01105_SEQ_02","ベルクーヤ大甲士と話すことができた。彼は冒険者を歓迎し、「ウルヴズジェイル」で存分に鍛えていくよう、激励してくれた。"
"3","TEXT_COMGRD001_01105_SEQ_03",""
"4","TEXT_COMGRD001_01105_SEQ_04",""
"5","TEXT_COMGRD001_01105_SEQ_05",""
"6","TEXT_COMGRD001_01105_SEQ_06",""
"7","TEXT_COMGRD001_01105_SEQ_07",""
"8","TEXT_COMGRD001_01105_SEQ_08",""
"9","TEXT_COMGRD001_01105_SEQ_09",""
"10","TEXT_COMGRD001_01105_SEQ_10",""
"11","TEXT_COMGRD001_01105_SEQ_11",""
"12","TEXT_COMGRD001_01105_SEQ_12",""
"13","TEXT_COMGRD001_01105_SEQ_13",""
"14","TEXT_COMGRD001_01105_SEQ_14",""
"15","TEXT_COMGRD001_01105_SEQ_15",""
"16","TEXT_COMGRD001_01105_SEQ_16",""
"17","TEXT_COMGRD001_01105_SEQ_17",""
"18","TEXT_COMGRD001_01105_SEQ_18",""
"19","TEXT_COMGRD001_01105_SEQ_19",""
"20","TEXT_COMGRD001_01105_SEQ_20",""
"21","TEXT_COMGRD001_01105_SEQ_21",""
"22","TEXT_COMGRD001_01105_SEQ_22",""
"23","TEXT_COMGRD001_01105_SEQ_23",""
"24","TEXT_COMGRD001_01105_TODO_00","ウルヴズジェイルのベルクーヤ大甲士と話す"
"25","TEXT_COMGRD001_01105_TODO_01",""
"26","TEXT_COMGRD001_01105_TODO_02",""
"27","TEXT_COMGRD001_01105_TODO_03",""
"28","TEXT_COMGRD001_01105_TODO_04",""
"29","TEXT_COMGRD001_01105_TODO_05",""
"30","TEXT_COMGRD001_01105_TODO_06",""
"31","TEXT_COMGRD001_01105_TODO_07",""
"32","TEXT_COMGRD001_01105_TODO_08",""
"33","TEXT_COMGRD001_01105_TODO_09",""
"34","TEXT_COMGRD001_01105_TODO_10",""
"35","TEXT_COMGRD001_01105_TODO_11",""
"36","TEXT_COMGRD001_01105_TODO_12",""
"37","TEXT_COMGRD001_01105_TODO_13",""
"38","TEXT_COMGRD001_01105_TODO_14",""
"39","TEXT_COMGRD001_01105_TODO_15",""
"40","TEXT_COMGRD001_01105_TODO_16",""
"41","TEXT_COMGRD001_01105_TODO_17",""
"42","TEXT_COMGRD001_01105_TODO_18",""
"43","TEXT_COMGRD001_01105_TODO_19",""
"44","TEXT_COMGRD001_01105_TODO_20",""
"45","TEXT_COMGRD001_01105_TODO_21",""
"46","TEXT_COMGRD001_01105_TODO_22",""
"47","TEXT_COMGRD001_01105_TODO_23",""
"48","TEXT_COMGRD001_01105_VORSAILE_000_000","<hex:022C0DFF07022903EB0203FF02200203><hex:020828E1E93601FF2002281CFF17474352616E6B47726964616E69614D616C6554657874E9360103FF0103>。<hex:02100103>聞いてくれるかい、僕たち「双蛇党」は、<hex:02100103>君に対して非常に大きな期待をかけている。"
"49","TEXT_COMGRD001_01105_VORSAILE_000_001","この混乱の時代では、<hex:02100103>君のような者の力こそが、世界を平定へと導く……<hex:02100103>僕たちはそう考えているのさ。"
"50","TEXT_COMGRD001_01105_VORSAILE_000_002","そんな将来有望な君だけど、<hex:02100103>この動乱の時代を生き抜くには、<hex:02100103>さらに腕を磨く必要があるんじゃないかな？"
"51","TEXT_COMGRD001_01105_VORSAILE_000_003","そこで、君に紹介したい施設がある。<hex:02100103>エオルゼア都市軍事同盟が共同で設立した、<hex:02100103>グランドカンパニー将兵の練兵所があるんだよ。"
"52","TEXT_COMGRD001_01105_VORSAILE_000_004","その名を……「ウルヴズジェイル」！<hex:02100103>対人戦の腕を磨くべく猛者たちが集い、<hex:02100103>日夜、肉体を躍動させている場所さ！"
"53","TEXT_COMGRD001_01105_VORSAILE_000_005","すでに君が施設を利用できるよう、連絡しておいたよ。<hex:02100103>受付の「ベルクーヤ大甲士」に話しかければ、<hex:02100103>すぐさま模擬戦に参加できるはずさ。"
"54","TEXT_COMGRD001_01105_VORSAILE_000_006","「ウルヴズジェイル」は、ラノシアの沖合にあるんだ。<hex:02100103>低地ラノシアの「モラビー造船廠」から出ている<hex:02100103>渡し船を利用するといいと思うよ。"
"55","TEXT_COMGRD001_01105_BERKOEYA_000_010","私の名はベルクーヤ・ルータルシン大甲士！<hex:02100103>狼たちの牢獄、「ウルヴズジェイル」の訓練教官である！"
"56","TEXT_COMGRD001_01105_BERKOEYA_000_011","現在この地では、各国グランドカンパニー所属者や、<hex:02100103>冒険者部隊からの志願者による合同訓練……<hex:02100103>「クリスタルコンフリクト」を行っている！！"
"57","TEXT_COMGRD001_01105_BERKOEYA_000_012","それすなわち、人対人の戦闘訓練！<hex:02100103>所属も階級も、ましてや過去の名声も関係なく、<hex:02100103>ただ己が牙と爪を以て存在を証明する……熱き獣の戦である！！"
"58","TEXT_COMGRD001_01105_BERKOEYA_000_013","いいか貴様！　牙を剥け！　爪を研げ！　<hex:02100103>ここで戦い、鍛え続け、敵に喰らいつく猛犬に……<hex:02100103>いや、獰猛なる狼となれ！"
"59","TEXT_COMGRD001_01105_BERKOEYA_000_014","食われるままの肉で終わりたくなければ、<hex:02100103>外で、担当者に話を聞くがいい……<hex:02100103>「クリスタルコンフリクト」の基本を、叩き込んでくれるはずだ！"
