"0","TEXT_LUCKZF018_03477_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>特殊ルール： レベルアジャスト<hex:0249020103><hex:0248020103><hex:02100103>ファノヴの里のファノヴの狩人は、再び冒険者の助けを必要としているようだ。"
"1","TEXT_LUCKZF018_03477_SEQ_01",""
"2","TEXT_LUCKZF018_03477_SEQ_02",""
"3","TEXT_LUCKZF018_03477_SEQ_03",""
"4","TEXT_LUCKZF018_03477_SEQ_04",""
"5","TEXT_LUCKZF018_03477_SEQ_05",""
"6","TEXT_LUCKZF018_03477_SEQ_06",""
"7","TEXT_LUCKZF018_03477_SEQ_07",""
"8","TEXT_LUCKZF018_03477_SEQ_08",""
"9","TEXT_LUCKZF018_03477_SEQ_09",""
"10","TEXT_LUCKZF018_03477_SEQ_10",""
"11","TEXT_LUCKZF018_03477_SEQ_11",""
"12","TEXT_LUCKZF018_03477_SEQ_12",""
"13","TEXT_LUCKZF018_03477_SEQ_13",""
"14","TEXT_LUCKZF018_03477_SEQ_14",""
"15","TEXT_LUCKZF018_03477_SEQ_15",""
"16","TEXT_LUCKZF018_03477_SEQ_16",""
"17","TEXT_LUCKZF018_03477_SEQ_17",""
"18","TEXT_LUCKZF018_03477_SEQ_18",""
"19","TEXT_LUCKZF018_03477_SEQ_19",""
"20","TEXT_LUCKZF018_03477_SEQ_20",""
"21","TEXT_LUCKZF018_03477_SEQ_21",""
"22","TEXT_LUCKZF018_03477_SEQ_22",""
"23","TEXT_LUCKZF018_03477_SEQ_23",""
"24","TEXT_LUCKZF018_03477_TODO_00","<hex:02280FFF09424E70634E616D65F221960103>から<hex:022811FF0A4576656E744974656DF61E8FCD0103>を入手"
"25","TEXT_LUCKZF018_03477_TODO_01","ファノヴの狩人に<hex:022811FF0A4576656E744974656DF61E8FCD0103>を渡す"
"26","TEXT_LUCKZF018_03477_TODO_02",""
"27","TEXT_LUCKZF018_03477_TODO_03",""
"28","TEXT_LUCKZF018_03477_TODO_04",""
"29","TEXT_LUCKZF018_03477_TODO_05",""
"30","TEXT_LUCKZF018_03477_TODO_06",""
"31","TEXT_LUCKZF018_03477_TODO_07",""
"32","TEXT_LUCKZF018_03477_TODO_08",""
"33","TEXT_LUCKZF018_03477_TODO_09",""
"34","TEXT_LUCKZF018_03477_TODO_10",""
"35","TEXT_LUCKZF018_03477_TODO_11",""
"36","TEXT_LUCKZF018_03477_TODO_12",""
"37","TEXT_LUCKZF018_03477_TODO_13",""
"38","TEXT_LUCKZF018_03477_TODO_14",""
"39","TEXT_LUCKZF018_03477_TODO_15",""
"40","TEXT_LUCKZF018_03477_TODO_16",""
"41","TEXT_LUCKZF018_03477_TODO_17",""
"42","TEXT_LUCKZF018_03477_TODO_18",""
"43","TEXT_LUCKZF018_03477_TODO_19",""
"44","TEXT_LUCKZF018_03477_TODO_20",""
"45","TEXT_LUCKZF018_03477_TODO_21",""
"46","TEXT_LUCKZF018_03477_TODO_22",""
"47","TEXT_LUCKZF018_03477_TODO_23",""
"48","TEXT_LUCKZF018_03477_FANOWHUNTER03477_000_000","また、私に手を貸してくれるのだな。<hex:02100103>嬉しい……本当に心強いんだ、ありがとう……！"
"49","TEXT_LUCKZF018_03477_FANOWHUNTER03477_000_001","さきほど説明したように、<hex:02100103>これから、ロンカの遺産を整備しにいこうと思っている。<hex:02100103>そこで、必要となるものを集めてはもらえないだろうか？"
"50","TEXT_LUCKZF018_03477_FANOWHUNTER03477_000_002","残念ながら、我らはロンカの守護像を、<hex:02100103>新たに造るほどの知識は受け継いではいない。<hex:02100103>ゆえに、暴走した個体を壊し、有用な部品を調達したいのだ。"
"51","TEXT_LUCKZF018_03477_FANOWHUNTER03477_000_003","君は、類まれな武人だと聞いているし、何より信頼している。<hex:02100103>礼は弾むので、暴走した「<hex:02280FFF09424E70634E616D65F221960103>」を倒して、<hex:02100103>「<hex:022811FF0A4576656E744974656DF61E8FCD0103>」を集めてきてくれないだろうか？"
"52","TEXT_LUCKZF018_03477_FANOWHUNTER03477_000_004","君は、類まれな武人だと聞いているし、何より信頼している。<hex:02100103>礼は弾むので、暴走した「<hex:02280FFF09424E70634E616D65F221960103>」を倒して、<hex:02100103>「<hex:022811FF0A4576656E744974656DF61E8FCD0103>」を集めてきてくれないだろうか？"
"53","TEXT_LUCKZF018_03477_FANOWHUNTER03477_000_010","おかえり、足音で君だとわかったよ！<hex:02100103>「<hex:022811FF0A4576656E744974656DF61E8FCD0103>」は入手できただろうか？"
"54","TEXT_LUCKZF018_03477_FANOWHUNTER03477_000_011","あぁ、流石の手並みだ！<hex:02100103>ファノヴの民でも、君の横に並べる者は何人もいないだろう！<hex:02100103>……うっかり、その腕前に惚れてしまいそうだよ。"
"55","TEXT_LUCKZF018_03477_FANOWHUNTER03477_000_012","この石は、守護像の文字通り「命」となる動力源で、<hex:02100103>喪われたロンカの魔術によって造られている……。<hex:02100103>だから、増産することは叶わない。"
"56","TEXT_LUCKZF018_03477_FANOWHUNTER03477_000_013","共食い整備のようになってしまうが、<hex:02100103>君のおかげで正常な守護像を長持ちさせることができるだろう。<hex:02100103>ありがとう、ロンカの同盟者……感謝の品を受け取ってくれ。"
