"0","TEXT_CTSMJICAVERECLAMATION_00832_TALK_ACTOR","0"
"1","TEXT_CTSMJICAVERECLAMATION_00832_TANKEN_033_000","我聽貓耳小員說過啦！<hex:02100103>我自己也看過啦，就像你調查到的一樣，<hex:02100103>這裡頭好像有個很大的空洞呢！"
"2","TEXT_CTSMJICAVERECLAMATION_00832_TANKEN_033_005","如果有推倒岩壁的工具，就能進到裡頭去了！<hex:02100103>我教你製作工具的方法吧，能請你幫我做這個嗎？"
"3","TEXT_CTSMJICAVERECLAMATION_00832_SYSTEM_033_000","學會魔法人偶用碎岩設備的開拓製作配方了！<hex:02100103>製作完成後，將成品交給探險小員吧！"
"4","TEXT_CTSMJICAVERECLAMATION_00832_TANKEN_034_000","等你做好了魔法人偶用碎岩設備之後，<hex:02100103>就跟我說一聲吧！"
"5","TEXT_CTSMJICAVERECLAMATION_00832_TANKEN_034_005","你準備好魔法人偶用碎岩設備啦！<hex:02100103>只要有了這個就可以砸開堅硬的岩石了，<hex:02100103>我們快點開始挖掘工作吧！"
"6","TEXT_CTSMJICAVERECLAMATION_00832_SYSTEM_034_000","是否開啟通往山中洞窟的通道？<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>※選擇開通洞窟之後將無法恢復原狀。<hex:0249020103><hex:0248020103>"
"7","TEXT_CTSMJICAVERECLAMATION_00832_Q1_034_000","趕緊開通吧！"
"8","TEXT_CTSMJICAVERECLAMATION_00832_Q1_034_005","現在先算了"
"9","TEXT_CTSMJICAVERECLAMATION_00832_TANKEN_034_010","那麼，我這就開始挖掘工作啦！"
"10","TEXT_CTSMJICAVERECLAMATION_00832_TANKEN_034_015","那等你準備好了就來跟我說一聲哦！"
"11","TEXT_CTSMJICAVERECLAMATION_00832_TANKEN_034_020","沒想到會變成這麼一個大洞！<hex:02100103>在這裡應該能找到很多東西吧！"
"12","TEXT_CTSMJICAVERECLAMATION_00832_TANKEN_034_025","那我就先走一步啦！<hex:02100103>請自由自在地探索洞窟吧！"
"13","TEXT_CTSMJICAVERECLAMATION_00832_SYSTEM_034_005","屯貨倉庫增加了新的探索地點「洞窟」。"
"14","TEXT_CTSMJICAVERECLAMATION_00832_TANKEN_100_005","你好！<hex:02100103>我負責和島主一起調查這座山！"
